ProjectID,ProjectName,Stage,Substage,StartDate,PlannedEndDate,ActualEndDate,ProgressPercentage,BudgetAllocated,BudgetUtilized,TeamAssigned,RiskLevel,IssuesReported
1037,Mall Development,Construction,Final Assembly,2023-04-08,2023-07-06,2023-06-30,41.96,174906,73389.33,Team Beta,Medium,8
1052,Office Tower,Engineering,Site Survey,2023-04-24,2023-07-18,2023-07-17,89.04,496017,441638.86,Team Gamma,Low,6
1025,Bridge Development,Construction,Foundation Laying,2023-05-25,2023-07-01,2023-07-01,70.61,354007,249973.69,Team Omega,Medium,7
1049,Bridge Development,Procurement,Material Sourcing,2023-10-23,2023-12-01,2023-11-23,88.92,449110,399357.07,Team Beta,Medium,4
1085,Office Tower,Procurement,Vendor Selection,2023-03-28,2023-05-14,2023-05-05,99.21,346679,343930.43,Team Beta,Medium,4
1013,Bridge Development,Procurement,Vendor Selection,2023-10-07,2023-11-10,2023-11-04,97.09,199639,193834,Team Delta,High,0
1048,Office Tower,Construction,Site Preparation,2023-10-17,2023-12-20,2023-12-11,43.02,336638,144821.88,Team Omega,Medium,5
1052,Bridge Development,Procurement,Logistics Planning,2023-08-10,2023-10-22,,71.59,208131,149000.85,Team Beta,High,8
1028,Residential Complex,Procurement,Logistics Planning,2023-01-14,2023-03-06,2023-02-27,57.53,349247,200933.29,Team Omega,High,0
1085,Office Tower,Engineering,Structural Design,2023-12-07,2024-01-25,,84.04,238532,200463.26,Team Beta,High,10
1056,Office Tower,Construction,Foundation Laying,2023-02-01,2023-03-03,2023-03-05,40.95,317658,130081.85,Team Gamma,High,2
1002,Residential Complex,Engineering,Design Approval,2023-03-25,2023-06-22,2023-06-19,81.88,224572,183887.8,Team Gamma,High,5
1047,Bridge Development,Engineering,Design Approval,2023-05-11,2023-07-03,2023-07-10,96.9,399871,387475.54,Team Alpha,Low,3
1021,Office Tower,Procurement,Material Sourcing,2023-01-17,2023-03-06,2023-03-07,75.49,150721,113782.01,Team Gamma,High,9
1079,Bridge Development,Procurement,Material Sourcing,2023-07-04,2023-08-24,2023-08-15,94.56,300319,283995.78,Team Omega,High,0
1025,Mall Development,Engineering,Structural Design,2023-01-09,2023-03-27,2023-03-28,87.6,431724,378202.13,Team Delta,Low,2
1064,Residential Complex,Construction,Site Preparation,2023-07-04,2023-09-05,,68.33,286658,195874.78,Team Omega,High,0
1082,Mall Development,Construction,Final Assembly,2023-10-27,2023-12-29,2024-01-04,70.59,322484,227631.47,Team Delta,High,3
1055,Mall Development,Procurement,Vendor Selection,2023-08-18,2023-09-25,,54.25,220753,119752.74,Team Alpha,Low,4
1055,Bridge Development,Engineering,Site Survey,2023-06-15,2023-09-06,2023-09-02,87.48,375001,328052.26,Team Beta,Medium,6
1051,Office Tower,Procurement,Material Sourcing,2023-12-15,2024-02-13,2024-02-12,66.17,287699,190372.23,Team Delta,High,6
1026,Bridge Development,Procurement,Logistics Planning,2023-03-16,2023-05-19,,52.59,471889,248181.68,Team Alpha,Low,5
1020,Bridge Development,Procurement,Logistics Planning,2023-03-08,2023-05-25,2023-05-31,70.42,470698,331466.31,Team Alpha,Low,5
1065,Bridge Development,Construction,Site Preparation,2023-11-25,2024-01-04,2023-12-26,79.76,289592,230964.63,Team Omega,High,0
1038,Office Tower,Construction,Foundation Laying,2023-12-03,2024-01-16,2024-01-19,12.59,263892,33216.8,Team Beta,Medium,8
1066,Residential Complex,Procurement,Vendor Selection,2023-03-23,2023-06-21,,68.2,224958,153426.34,Team Beta,High,3
1100,Residential Complex,Engineering,Site Survey,2023-05-25,2023-07-06,2023-07-12,84.91,450838,382827.07,Team Beta,Low,4
1042,Office Tower,Procurement,Vendor Selection,2023-12-15,2024-03-04,2024-03-05,77.46,412953,319878.13,Team Delta,Medium,9
1072,Mall Development,Engineering,Site Survey,2023-03-14,2023-06-10,,80.68,397717,320892.31,Team Alpha,Medium,10
1045,Bridge Development,Construction,Site Preparation,2023-09-07,2023-11-08,2023-11-08,75,349960,262452.61,Team Beta,Medium,10
1070,Mall Development,Engineering,Structural Design,2023-08-21,2023-11-16,2023-11-18,99.75,322964,322144.02,Team Alpha,High,10
1046,Bridge Development,Construction,Foundation Laying,2023-03-30,2023-06-03,2023-06-11,24.65,122932,30299.99,Team Alpha,Low,1
1089,Residential Complex,Procurement,Vendor Selection,2023-04-29,2023-07-20,2023-07-11,51.94,225031,116881.25,Team Beta,Medium,5
1003,Mall Development,Construction,Site Preparation,2023-06-04,2023-08-11,,72.75,113161,82323.12,Team Gamma,Low,5
